Book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	519	21	AGWAY CHEMICALS CORPORATION	BROMACIL	HYVAR X 80 WP	800 g/Kg	WP	HERBICIDE	4	075-169-3695	05/07/2024	NON-SELECTIVE	Pineapple	Annual grasses & broadleaves
500-599	519	22	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Rice	"Leafhopper, planthopper, caseworm"
500-599	519	23	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021		Field Legumes	"Leaffolder, stinkbug, beanfly, squash bug"
500-599	519	24	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Cowpea	"Leaffolder, stinkbug, beanfly, squash bug"
500-599	519	25	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Mungbeans	"Leaffolder, stinkbug, beanfly, squash bug"
500-599	519	26	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Soybeans	"Leaffolder, stinkbug, beanfly, squash bug"
500-599	519	27	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Tobacco	"Budworm, aphids"
500-599	519	28	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Cotton	Leafhopper
500-599	520	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	520	1	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Melon	"Diamond back moth, cutworm, aphids"
500-599	520	2	"PLANTERS PRODUCTS, INC."	MIPC	HYTOX 50 WP	500 g/Kg	WP	INSECTICIDE	3	031-009-0175	31/12/2021	-	Cabbage	Cabbage worm
500-599	520	3	RADISSON AGROCHEMICAL CORPORATION	ALUMINUM PHOSPHIDE	HYPHOS FUMIGATION TABLETS	560 g/Kg	TAB	FUMIGANT	1	234-084-2929	17/11/2023	CONTACT		Stored product pest
500-599	520	4	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Pineapple	Pineapple flowering & ripening
500-599	520	5	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Banana	Banana ripening
500-599	520	6	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Mango	Mango ripening
500-599	520	7	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Coffee	Coffee ripening
500-599	520	8	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Pineapple	Pineapple flowering & ripening
500-599	520	9	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Banana	Banana ripening
500-599	520	10	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Mango	Mango ripening
500-599	520	11	PRIMESTOCKS CHEMICAL CORPORATION	ETHEPHON	HYPERION 480 SL	480g/L	SL	OTHERS	4	623-061-4509	14/09/2021		Coffee	Coffee ripening
500-599	520	12	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Mungbeans	cercospora leaf spot
500-599	520	13	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Beans	Powdery mildew
500-599	520	14	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Cabbage	Cercospora leaf spot
500-599	520	15	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Calamansi	Scab
500-599	520	16	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Cucumber	Powdery mildew
500-599	520	17	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Ginger	Cercospora leaf spot
500-599	520	18	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Grapes	Powdery mildew
500-599	520	19	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Mandarin	Scab
500-599	520	20	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Mango	"Anthracnose, powdery mildew"
500-599	520	21	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Melon	Powdery mildew
500-599	520	22	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Orange	Scab
500-599	520	23	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Papaya	Powdery mildew
500-599	520	24	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Pepper	Cercospora leaf spot
500-599	520	25	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Rice	"Blast, sheath blight"
500-599	520	26	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Strawberry	Cercospora leaf spot
500-599	520	27	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Tobacco	"Leaf mold, frog eye"
500-599	520	28	"AGRI-SPROUT PHILS., INC."	BENOMYL	HYPER 50 WP	500 g/Kg	WP	FUNGICIDE	4	668-167-5705	08/09/2024	SYSTEMIC	Banana	Black sigatoka
500-599	521	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	521	1	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Banana	Sigatoka
500-599	521	2	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Beans	"Bacterial blight, rust"
500-599	521	3	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Cabbage	"Black rot, black leaf spot"
500-599	521	4	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Cacao	Black pod
500-599	521	5	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Carrot	Cercospora
500-599	521	6	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Cauliflower	"Downy mildew, alternaria leaf spot"
500-599	521	7	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Celery	Early blight
500-599	521	8	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Citrus	"Black apot, scab. Melanose"
500-599	521	9	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Coffee	"Leaf rust, coffee berry disease"
500-599	521	10	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Cucumber	"Anthracnose, septoria, cercospora, fruit rot, downy mildew"
500-599	521	11	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Grapes	"Anthracnose, mildew, black rot"
500-599	521	12	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Mango	Anthracnose
500-599	521	13	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Onion	"Purple blotch, downy mildew"
500-599	521	14	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Peas	Powdery mildew
500-599	521	15	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Peanut	Cercospora leaf spot
500-599	521	16	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Pepper	"Bacterial blight, rust"
500-599	521	17	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Potato	"Early blight, late blight"
500-599	521	18	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Rice	"Blast, sheath blight, bacterial leaf streak"
500-599	521	19	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Tomato	"Early blight, late blight, fruity rot, septoria alternaria"
500-599	521	20	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Watermelon	"Anthracnose, fruit rot, downy mildew"
500-599	521	21	JOCANIMA CORPORATION	COPPER HYDROXIDE	HYDROXIDE SUPER 77 WP	770 g/Kg	WP	FUNGICIDE	3	241-006-1111	03/12/2022		Papaya	Baterial crown rot
500-599	521	22	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Banana	Sigatoka
500-599	521	23	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Beans	"Bacterial blight, rust"
500-599	521	24	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Cabbage	"Black rot, black leaf spot"
500-599	521	25	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Cacao	Black pod
500-599	521	26	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Carrot	Cercospora
500-599	521	27	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Cauliflower	"Downy mildew, alternaria leaf spot"
500-599	521	28	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Celery	Early blight
500-599	522	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	522	1	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Citrus	"Black apot, scab. Melanose"
500-599	522	2	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Coffee	"Leaf rust, coffee berry disease"
500-599	522	3	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Cucumber	"Anthracnose, septoria, cercospora, fruit rot, downy mildew"
500-599	522	4	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Grapes	"Anthracnose, mildew, black rot"
500-599	522	5	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Mango	Anthracnose
500-599	522	6	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Onion	"Purple blotch, downy mildew"
500-599	522	7	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Peas	Powdery mildew
500-599	522	8	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Peanut	Cercospora leaf spot
500-599	522	9	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Pepper	"Bacterial blight, rust"
500-599	522	10	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Potato	"Early blight, late blight"
500-599	522	11	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Rice	"Blast, sheath blight, bacterial leaf streak"
500-599	522	12	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Tomato	"Early blight, late blight, fruity rot, septoria alternaria"
500-599	522	13	"MAGAN AGRO PHILS., ENTERPRISE, INC."	COPPER HYDROXIDE	HYDROMAX 77 WP	770 g/kg	WP	FUNGICIDE	3	461-006-3661	14/03/2025		Watermelon	"Anthracnose, fruit rot, downy mildew"
500-599	522	14	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Glyphosate tolerantcorn	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	15	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Mango	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	16	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Banana	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	17	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Coffee	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	18	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Cacao	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	19	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Rubber	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	20	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Oil palm	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	21	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Citrus	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	22	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Coconut	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	23	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Sugarcane	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	24	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Vegetables	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	25	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Non-crop	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	26	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Coffee	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	27	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Cacao	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	522	28	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Rubber	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	523	1	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Oil palm	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	2	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Citrus	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	3	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Coconut	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	4	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Sugarcane	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	5	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	Vegetables	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	6	GRANDIA AGRO MARKETING CORPORATION	GLYPHOSATE IPA	HUSTLER 480 SL	480 g/L	SL	HERBICIDE	4	445-151-2752	28/12/2022	POST-EMERGENT	non-crop	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	7	KEMISTAR CORPORATION	CYHALOFOP-BUTYL	HUSAY 100 EC	100 g/L	EC	HERBICIDE	4	239-257-5578	21/10/2024	-	Rice (Direct-seeded)	Grasses
500-599	523	8	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Mango	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	9	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Banana	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	10	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Coffee	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	11	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Cacao	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	12	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Rubber	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	13	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Oil palm	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	14	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Citrus	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	15	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Coconut	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	16	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Sugarcane	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	17	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Vegetables	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	18	MANAGRA TRADING CORPORATION	GLYPHOSATE IPA	HU-ROOT 480 PLUS	480 g/L	SL	HERBICIDE	4	476-151-2839	28/04/2021	POST-EMERGENT	Non-crop	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	523	19	LEADS AGRICULTURAL PRODUCTSCORPORATION	TERBUFOS	HUNTER 10 G	100 g/Kg	G	INSECTICIDE/NEMATICIDE	1	099-181-1253	17/03/2021	-	Banana	"Burrowing nematodes, aphids & corn weevils"
500-599	523	20	"CAVILLA AGRI VENTURES, INC."	CARTAP HYDROCHLORIDE	HULK 50 SP	500 g/kg	SP	INSECTICIDE	3	636-106-4693	06/03/2022	SYSTEMIC	Rice	"Whorl maggots, stemborer, green leafhopper, brown planthopper"
500-599	523	21	"CAVILLA AGRI VENTURES, INC."	CARTAP HYDROCHLORIDE	HULK 50 SP	500 g/kg	SP	INSECTICIDE	3	636-106-4693	06/03/2022	SYSTEMIC	Wongbok	"Diamond-back moth, aphids, cabbage moth, cabbage worm"
500-599	523	22	"CAVILLA AGRI VENTURES, INC."	CARTAP HYDROCHLORIDE	HULK 50 SP	500 g/kg	SP	INSECTICIDE	3	636-106-4693	06/03/2022	SYSTEMIC	Cabbage	"Diamond-back moth, aphids, cabbage moth, cabbage worm"
500-599	523	23	"CAVILLA AGRI VENTURES, INC."	CARTAP HYDROCHLORIDE	HULK 50 SP	500 g/kg	SP	INSECTICIDE	3	636-106-4693	06/03/2022	SYSTEMIC	Cucurbits	"Thrips, leafworm, squash beetle, aphids, flea beetle"
500-599	523	24	"CAVILLA AGRI VENTURES, INC."	CARTAP HYDROCHLORIDE	HULK 50 SP	500 g/kg	SP	INSECTICIDE	3	636-106-4693	06/03/2022	SYSTEMIC	Garlic	"Thrips, cutworm"
