"pestcode","pestdesc"
"VGBEB  ","EGG BINDING"
"VGCE   ","CEREBROVASCULAR INSUFFICIENCY"
"VGCV   ","CONVULSIONS"
"VGDF   ","REPAIRS DAMAGED FINS"
"VGH1   ","GENERAL WELL-BEING"
"VGHC   ","HOPPLE CHAFE"
"VGIB   ","IMPROVING BEHAVIOUR"
"VGIO   ","ORTHOPAEDIC - INFLAMATION"
"VGK    ","KETOSIS"
"VGMA   ","MASSAGE AID"
"VGOC   ","OCULAR CONDITION"
"VGP    ","POLL STRIKE"
"VGRM   ","REDUCED MORTALITY"
"VGRS   ","RESPIRATORY ALLERGIES"
"VGSC   ","REDUCTION OF SCOURING"
"VGSK   ","SKIN CONDITIONS"
"VGST   ","EXTREME STRESS"
"VGSZ   ","SEIZURES"
"VGWL   ","PREVENTING WEIGHT LOSS"
"VGYI1  ","RAISE COLOSTRAL ANTIBODIES"
"VHILA  ","INHIBIT LACTATION"
"VHSO   ","INDUCE SUPEROVULATION"
"VIAL   ","LIVER ABSCESS"
"VIAM   ","ACTINOMYCOCSIS"
"VIBL   ","INFECTIONS OF THE BLADDER"
"VIBPM  ","PROTEUS MIRABILIS"
"VIBST  ","STAPHYLOCOCCUS SPP."
"VICF   ","CAMPYLOBACTER FETUS FETUS"
"VIDE   ","DERMOPHYTE INFECTION"
"VIF1   ","FUNGAL INFECTION"
"VIG    ","TREATMENT OF INFECTION"
"VIHR   ","INCONTINENCE - HORMONE RESPONSIVE"
"VISD   ","SECONDARY INFECTION"
"VIST   ","LOCALISED INFECTIONS IN SOFT TISSUE"
"VIT    ","TOPICAL INFECTION"
"VMMS   ","MUSCULAR SPRAIN"
"VMMY   ","MYCOPLASMAL INFECTION"
"VPIT1  ","TAPEWORM - MONIEZA EXPANSA"
"VRAD   ","DEXMEDETOMIDINE REVERSING AGENT & ANT"
"VSFL   ","PREVENT FLUID LOSS"
"VVMD   ","MAREK'S DISEASE"
"VVSM   ","SCABBY MOUTH"
"W      ","INSECT"
"WANA1  ","TYRANT ANT"
"WANI   ","INVASIVE & NUISANCE ANTS -REFER TO ALIAS"
"WANS   ","SUGAR ANT"
"WANSP  ","SINGAPORE ANT"
"WANTA  ","PEDICEL ANT"
"WAPA   ","SPOTTED ALFALFA APHID"
"WAPAE  ","APHID EGGS"
"WAPIC  ","CITRUS APHID"
"WAPO   ","CORN APHID"
"WAPWH  ","WHEAT APHID"
"WAPX   ","APHIDS - SEE LABEL FOR EXCEPTIONS"
"WBBW   ","BLOODWORM - CHIRONOMUS SPP."
"WBE    ","BEE"
"WBOE2  ","EUROPEAN HOUSE BORER"
"WBOGR  ","LESSER GRAIN BORER-MULTI RESISTANT STRNS"
"WBOSC  ","CUCURBIT STEMBORER"
"WBOTJ  ","JEWEL TREE BORER"
"WBPB   ","PILL BUG"
"WBTCB  ","BLACK CARPET BEETLE"
"WBTCS  ","CADMUS SPP."
"WBTE   ","CIGARETTE BEETLE"
"WBTFC  ","CONFUSED FLOUR BEETLE"
"WBTFO  ","COUCH FLEA BEETLE"
"WBTFU1 ","RUST-RED FLOUR BEETLE - OP RESISTANT"
"WBTL   ","LEAF BEETLE"
"WBTLE  ","ELM LEAF BEETLE"
"WBTLF  ","FIG LONGICORN"
"WBTSB  ","FIVE-SPINED BARK BEETLE"
"WBTTI  ","TIMBER BEETLE"
"WBTV   ","FURNITURE BEETLE"
"WBUF   ","FRUITSPOTTING BUG"
"WBUFB  ","BANANA SPOTTING BUG"
"WBUJ   ","BILL BUG"
"WBULM  ","MACADAMIA LACE BUG"
"WBUMC  ","CITRUS MEALY BUG"
"WBUML  ","LONGTAILED MEALY BUG"
"WBUSF  ","FRUITSPOTTING BUG - AMBLYPELTA NITIDA"
"WBUV   ","GREEN VEGETABLE BUG"
"WBW    ","HELICOVERPA ARMIGERA"
"WBWC   ","COTTON BUDWORM OR BOLLWORM"
"WCAC   ","CLUSTER CATERPILLAR"
"WCAFB  ","BANANA FRUIT CATERPILLAR"
"WCAFR  ","RASPBERRY FRUIT CATERPILLAR"
"WCAG   ","GRASSEATING CATERPILLAR"
"WCAGR  ","GRASS CATERPILLAR"
"WCAI   ","LEAFMINER CATERPILLAR"
"WCALB  ","LARGE BODIED CATERPILLARS"
"WCAR   ","RIDDLER CATERPILLAR"
"WCAT   ","TORTRIX CATERPILLAR"
"WCAW   ","WEBSPINNER CATERPILLAR"
"WCC    ","COCKCHAFER"
"WCOB   ","BROWN BANDED COCKROACH"
"WCOG   ","GERMAN COCKROACH"
"WCOO   ","ORIENTAL COCKROACH"
"WCOW   ","WINGLESS COCKROACH"
"WCOX   ","COCKROACH - LARVAE"
"WCU1   ","TASMANIAN CUTWORM"
"WCUC   ","COMMON CUTWORM - AGROTIS INFUSA"
"WDRN1  ","INCREASE FRUIT SET IN CULTIVARS"
"WFLPS  ","POULTRY STICKFAST FLEA"
"WFYBAD ","BLOWFLY ADULT - LUCILIA SPP."
"WFYG   ","MARCH FLY"
"WFYGN  ","GNAT"
"WFYH1  ","HOUSE FLY"
"WFYL   ","LATRINE FLY"
"WFYW3  ","SILVERLEAF WHITEFLY "
"WFYWG  ","GREENHOUSE WHITEFLY"
"WGIF   ","FLYING INSECT"
"WGPSP  ","STORED PRODUCT INSECT PESTS - SEE LABEL"
"WGRD   ","SOUTHERN ONE-YEAR CANEGRUB"
"WHOLA  ","APPLE LEAFHOPPER"
"WHOP   ","PLANTHOPPER"
"WHOP2  ","FLATIDS"
"WHOV   ","PASSIONVINE HOPPER"
"WHPC   ","CITRUS PLANTHOPPER"
"WKES   ","SHEEP KED"
"WLCM1  ","MIGRATORY LOCUST - NYMPHS"
"WLE    ","LEAFEATING INSECT"
"WLMT   ","TOBACCO LEAFMINER"
"WLMTO  ","TOMATO LEAF MINER"
"WLO    ","LOUSE"
"WLO4   ","LOUSE - LINOGNATHUS SPP."
"WLOBO  ","LICE - BOVICOLA SPP."
"WLOD2  ","POULTRY SHAFT LOUSE"
"WLOHB  ","HORSEBITING LOUSE"
"WLPV   ","VEGETABLE OR GREEN LOOPER"
"WMDNL  ","NUISANCE MIDGE - LARVAE"
"WMOA   ","ALMOND MOTH"
"WMOB   ","BANANA SCAB MOTH"
"WMOCM  ","MACADAMIA CUP MOTH"
"VDSC1  ","BACTERIAL CALF SCOURS"
"VDSC2  ","SCOURS"
"VG11   ","ORGANISMS SENSITIVE TO SULFADOXINE"
"VG5    ","ORGANISMS SENSITIVE TO COMBINATION OF"
"VGA1   ","ALLERGIES"
"VGAR   ","ARTHRITIS"
"VGAS1  ","ADRENOCORTICAL STEROID"
"VGBS   ","BOAR SEMEN"
"VGBSB  ","BROWN SNAKE BITE - PSEUDONAJA SPP."
"VGBT   ","BOAR TAINT"
"VGCG   ","COAGULOPATHIES"
"VGCO   ","CUTANEOUS ONCHOCERCIASIS"
"VGDC   ","DISSEMINATED INTRAVASCULAR COAGULATION"
"VGDE   ","ENZOOTIC ABORTION"
"VGFW   ","FARROWING - INDUCTION OF"
"VGGA   ","GALLS"
"VGHG   ","HIGH GRAIN RATIONS"
"VGIM   ","IMPAIRED SPERMATOGENESIS"
"VGLA   ","LAMINITIS"
"VGLI   ","LIVER DAMAGE"
"VGMC   ","MUSCULOSKELETAL CONDITIONS"
"VGMI   ","MUSCLE INJURY TREATMENT"
"VGO    ","ORTHOPAEDIC CONDITIONS"
"VGP1   ","FLEA INFESTATIONS"
"VGPF   ","PERIANAL FISTULAE"
"VGPL   ","POST PARTUM LACTATION"
"VGPPB  ","LEAD POISONING"
"VGPRO  ","DEPOT PROGESTERONE INJECTION"
"VGRF   ","RESPIRATORY FAILURE"
"VGSB   ","STONE BRUISES"
"VGSC1  ","PREVENTION OF SCOURING"
"VGSE   ","SEVERE EXERTION"
"VGSPT  ","SPLIT TOES"
"VGST1  ","STRESS"
"VGTR   ","TRANQUILLISER"
"VGURS  ","URINE SPRAY"
"VHMES  ","MESALLIANCE"
"VHMH   ","MODIFY HYPERSEXUALITY"
"VHOL   ","LACTATION ANOESTRUS"
"VHPPA  ","POST-PARTUM ANOESTRUS"
"VIAB   ","ABSCESS"
"VIAS   ","AIRSACCULITIS"
"VICD   ","CALF DIPHTHERIA"
"VIHX   ","HEXAMITIASIS"
"VIJI   ","JOINT ILL"
"VINE3  ","NECROTIC ENTERITIS - AID IN PREVENTION"
"VISC   ","INFECTIONS OF SOFT CUTANEOUS TISSUE"
"VISK   ","INFECTIONS OF THE SKIN"
"VISS   ","SOFT TISSUE INFECTIONS"
"VIUI   ","URINARY INCONTINENCE (SPAYED BITCH)"
"VIUS1  ","PREVENTION OF NASAL AND FAECAL SHEDDING"
"VIVF   ","FIV IMMUNISATION"
"VIW    ","WOUND INFECTIONS"
"VOSTB  ","STEREOTYPIC BEHAVIOUR"
"VPIA   ","ASCARID - PARASACRIS EQUORIUM"
"VPIS1  ","SMALL STRONGYLES - TRICHONEMA SPP."
"VRMS   ","RELIEVE MUSCLE SORENESS"
"VSP    ","PHOSPHORUS SUPPLEMENT"
"VTGAS  ","GASTROINTESTINAL STIMULANT"
"VVBEF  ","BOVINE EPHEMERAL FEVER (BEF)"
"VVBV   ","BOVINE VIRAL DIARRHOEA VIRUS"
"VVCC   ","CANINE CORONAVIRUS"
"VVPP   ","PIGLET PNEUMONIA"
"VVSV   ","SALMONID VIRUS"
"VWR    ","AFTER - BIRTH RETENTION"
"WANM1  ","MEAT ANT"
"WANTG  ","GREEN TREE ANT"
"WAP1   ","APHIDS - RHOPALOSIPHUM SPP."
"WAP2   ","APHIDS - IMMATURE"
"WAPB   ","BLUEGREEN APHID"
"WAPCL  ","CURRANT LETTUCE APHID"
"WAPCP  ","APHID CONTROL-PREVENT VIRUS TRANSMISSION"
"WAPE   ","CHRYSANTHENUM APHID"
"WAPGS  ","CABBAGE APHID - SUPPRESSION"
"WAPK   ","POTATO APHID"
"WAPM   ","PANGOLA GRASS APHID"
"WAPPB  ","BLACK PEACH APHID"
"WAPW   ","WOOLLY APHID"
"WBC    ","PALE COTTON STAINER"
"WBFS   ","TOMATO THRIPS"
"WBFW   ","CABBAGE WHITE BUTTERFLY"
"WBOCO  ","ORIENTAL CORNBORER"
"WBT3   ","FAMILY: BOSTRYCHIDAE"
"WBTCF  ","FURNITURE CARPET BEETLE"
"WBTDF  ","DRIED FRUIT BEETLE"
"WBTFB  ","BROADHORNED FLOUR BEETLE"
"WBTGT  ","SAWTOOTHED GRAIN BEETLE"
"WBTGT1 ","SAWTOOTHED GRAIN BEETLE - OP RESISTANT"
"WBTL1  ","LEAF-EATING BEETLE"
"WBTO   ","ORCHID BEETLE"
"WBTQL  ","SCARAB BEETLE - LARVA"
"WBTU   ","CURCULIO BEETLE"
"WBU2   ","MIRIDS"
"WBUA   ","APPLE DIMPLING BUG - C. LIEBKNECHTI"
"WBUBE  ","BED BUG EGGS"
"WBUZ   ","PIEZODORUS SPP."
"WBWC1  ","COTTON BUDWORM OR BOLLWORM - SEE LABEL"
"WBWR1  ","RICE BLOODWORM - LARVAE"
"WCACC  ","CABBAGE CLUSTER CATERPILLAR"
"WCCY   ","YELLOW HEADED PASTURE COCKCHAFER"
"WCI    ","COCCID"
"WCOA   ","AUSTRALIAN COCKROACH"
"WCSC1  ","BLACK SUNFLOWER SCARAB"
"WCUAI  ","BLACK CUTWORM - AGROTIS IPSILON"
"WCUL   ","CLIMBING CUTWORM"
"WEAB   ","BLACK FIELD EARWIG"
"WFLD   ","DOG FLEA"
"WFLO   ","FLEA - OUTDOORS ONLY"
"WFLY   ","FLEA - LARVAE (CTENOCEPHALIDES SPP.)"
"WFY    ","FLY"
"WFYBF  ","BLACK FLY"
"WFYFQ  ","QUEENSLAND FRUIT FLY"
"WFYMP  ","PHORIDS"
"WFYW2  ","WHITEFLY - IMMATURE"
"WFYW7  ","SILVERLEAF WHITEFLY - SUPPRESSION"
"WGHW   ","WINGLESS GRASSHOPPER"
"WGPSC  ","STORED COMMODITY PESTS"
"WGR    ","GRUB"
"WGRCB  ","BUNDABERG CANEGRUB"
"WGRCP  ","PLECTRIS CANE GRUB"
"WGRDC  ","CHILDERS CANEGRUB"
"WGRO   ","CORBIE"
"WGRWP  ","PASTURE WHITE GRUB"
"WHOF   ","FIG LEAFHOPPER"
"WHOLB  ","COMMON BROWN LEAFHOPPER"
"WHOLL  ","LUCERNE LEAFHOPPER"
"WLAS   ","TWENTYEIGHT-SPOTTED POTATO LADYBIRD"
"WLCM   ","MIGRATORY LOCUST"
"WLCPL  ","PLAGUE LOCUST LARGE HOPPER"
"WLCPM  ","PLAGUE LOCUST SMALL HOPPER"
"WLCS   ","SPUR-THROATED LOCUST"
"WLMS   ","SWEET POTATO LEAFMINER"
"WLO3   ","LOUSE - TRICHODECTES SPP."
"WLOB   ","BUFFALO LOUSE"
"VGOH   ","ORAL HYGEINE"
"VGPI   ","PAIN/INFLAMMATION ASSOCIATED WITH NONINF"
"VGPI2  ","PAIN/INFLAMMATION MUSCULO-SKELATAL DISOR"
"VGPO   ","POISONING"
"VGPS   ","POST SURGICAL PAIN"
"VGSK1  ","MANAGEMENT OF FEBRILE CONDITIONS"
"VGSS   ","SUMMER SORES"
"VGST2  ","HEAT STRESS"
"VGTS   ","SOFT TISSUE SWELLING"
"VGUO   ","AMMONIACAL URINE ODOURS"
"VGWG   ","INCREASE WEIGHT GAIN RATE"
"VHCPH  ","CANINE PROSTATIC HYPERTROPHY"
"VHOEC  ","CONTROL OF OESTRUS"
"VHTRT  ","THYROID REPLACEMENT THERAPY"
"VHTT   ","HYPOTHYROIDISM"
"VICJK  ","BACTERIAL KERATO CONJUNCTIVITIS"
"VICKD  ","CHRONIC KIDNEY DISEASE"
"VICO   ","COCCIDIAL INFECTION"
"VIE    ","EAR INFECTIONS"
"VIGI   ","INFECTIONS OF THE GASTROINTESTINAL TRACT"
"VIHF   ","HEART FALURE - TREATMENT"
"VILP   ","LEPTOSPIROSIS - LEPTOSPIRA POMONA"
"VINE2  ","NECROTIC ENTERITIS - TREATMENT"
"VINI   ","NAVEL ILL"
"VINV   ","NAVEL INFECTION"
"VIPA   ","PARAINFLUENZA VIRUS TYPE 2 (INFECTIONS)"
"VIPD   ","PUSTULAR DERMATITIS"
"VISY1  ","NON-INFECTIOUS ACUTE SYNOVITIS"
"VITH   ","THRUSH"
"VIUS   ","URINARY SHEDDING"
"VMARK  ","MARKING WOUND"
"VNE    ","NEISSERIA"
"VOPP   ","PARTURIENT PARESIS"
"VPIS2  ","SMALL STRONGYLES - TRIODONTOPHORUS SPP."
"VSE    ","ENZYME SUPPLEMENT"
"VSEG   ","SUPPLEMENT ENERGY NEEDS"
"VSM    ","MINERAL SUPPLEMENT"
"VVBHV  ","BOVINE HERPESVIRUS"
"VVIB   ","INFLUENZA B"
"VVPPM  ","PIGEON PARAMYXO VIRUS-1"
"WANH   ","SEED-HARVESTING ANT"
"WANHW  ","WHITEFOOTED HOUSE ANT"
"WANX   ","ANTS (EXCEPT RED IMPORTED FIRE ANT)"
"WAPN   ","COTTON APHID"
"WAPP   ","PEACH APHID"
"WAPR   ","APHID - RHOPALOSIPHUM PADDI"
"WBFD   ","CORNELIAN BUTTERFLY"
"WBFS1  ","TOMATO THRIPS - SUPPRESSION"
"WBFWT  ","CABBAGE WHITE BUTTERFLY"
"WBONM  ","MACADAMIA NUTBORER"
"WBOT   ","TERRESTRIAL WOOD BORER"
"WBOWB  ","BANANA WEEVIL BORER"
"WBRO   ","SUGARCANE WEEVIL BORER"
"WBT2   ","FAMILY: ANOBIIDAE"
"WBT4   ","CHRYSOMELID BEETLE"
"WBTAS  ","BRONZED FIELD BEETLE"
"WBTBS  ","BLACKSOIL SCARAB"
"WBTCV  ","VARIEGATED CARPET BEETLE"
"WBTD   ","DRUGSTORE BEETLE"
"WBTFD  ","COTTON FLEA BEETLE"
"WBTGF  ","FLAT GRAIN BEETLE"
"WBTK   ","FUR BEETLE"
"WBTLS  ","LIPARETRUS SPP. - ADULTS"
"WBTM   ","HIBISCUS FLOWER BEETLE"
"WBTQG  ","GREEN SCARAB BEETLE"
"WBTST  ","STAPHYLINID BEETLE"
"WBTTE  ","TASMANIAN EUCALYPTUS LEAF BEETLE"
"WBTZ   ","FLOWER BEETLE"
"WBU1   ","DIMPLING BUG"
"WBUI   ","GREY STINK BUG"
"WBULR  ","LYCHEE STINK BUG"
"WBUSG  ","GREEN SHIELD BUG"
"WBWE   ","CORN EARWORM"
"WBWN   ","NATIVE BUDWORM OR BOLLWORM"
"WBWS   ","ROUGH BOLLWORM"
"WCA1   ","LEPIDOPTEROUS CATERPILLAR"
"WCAE   ","EGGFRUIT CATERPILLAR"
"WCAHA  ","HAIRY CATERPILLAR"
"WCAM   ","MOTH CATERPILLAR"
"WCD    ","CADELLE"
"WCH    ","CHEWING INSECT"
"WCOH   ","COCKROACH INFESTATION - HEAVY/RESIDUAL"
"WCRF   ","FIELD CRICKET"
"WCUCC  ","COMMON CUTWORM - AGROTIS SPP."
"WCUPC  ","PINK CUTWORM - AGROTIS SPP."
"WFLA   ","CAT FLEA"
"WFYB   ","BLOWFLY"
"WFYB1  ","BLOWFLY MAGGOT - CALLIPHORIDAE"
"WFYBE  ","EUROPEAN GREEN BLOWFLY"
"WFYF2  ","FRUIT FLY - NOT MEDITERRANEAN FRUIT FLY"
"WFYHF  ","HORSE FLY"
"WFYN   ","NUISANCE FLIES"
"WFYV   ","VINEGAR FLY"
"WFYW1  ","SILVERLEAF WHITEFLY"
"WFYX   ","BITING FLY"
"WGE    ","INSECT EGGS"
"WGI    ","INSECT"
"WGPH   ","GENERAL HOUSEHOLD PEST"
"WGPQ   ","QUARANTINE PESTS"
"WGPSF  ","STORED FOOD INSECT PESTS"
"WGRR   ","RHOPAEA CANEGRUB"
"WGSC   ","RED, SOFT BROWN AND OLIVE SCALE"
"WHOLP  ","PASTURE LEAFHOPPER"
"WHOT   ","TREEHOPPER"
"WKAC1  ","INLAND KATYDID"
"WLA    ","LEAF-EATING LADYBIRD-E. GUTTATOPUSTULATA"
"WLCS1  ","SPUR-THROATED LOCUST - NYMPHS & ADULTS"
"WLCY   ","YELLOW-WINGED LOCUST"
"WLMR   ","LEAFMINER"
"WLOH   ","BODY LOUSE"
"WLOHA  ","LICE - HAEMATOPINUS SPP."
"WLOSA  ","SHEEP FACE LOUSE"
"WLOU   ","SUCKING LOUSE"
"WLPC   ","CASTOR OIL LOOPER"
"WLPG   ","GREY LOOPER"
"WLPS1  ","BEAN LOOPER"
"WMD    ","MIDGE"
"WMEL   ","LESSER MEALWORM"
"WMGSM  ","SEED MAGGOT"
"WMOAA  ","BANKSIA MOTH - AROTHROPHORA ARCUATALLIS"
"WMOGA  ","ANGOUMOIS GRAIN MOTH"
"WMOGAU ","AUTUMN GUM MOTH"
"WMOLR  ","LEAFROLLER MOTH"
"WMOP   ","POTATO MOTH"
"WMOR   ","RAISIN MOTH"
"WMOS   ","SEED MOTH"
"WMS2   ","MOSQUITO - AEDES SPP."
"WMSL   ","MOSQUITO LARVA"
"WPHN   ","PHASMATID NYMPH"
"WSC1   ","SCALE INSECTS"
"WSCFI  ","FIORINIA SCALE"
"VHCRY  ","CRYPTORCHIDISM"
"VHOPO  ","POSTPONE OESTRUS"
"VHOPR  ","PREVENT OESTRUS"
"VIACL  ","ACTINOBACILLOSIS"
"VIANS  ","ANAL SACCULITIS"
"VIDM1  ","TREATMENT OF DERMATOPHYTE INFECTION"
"VIEA   ","ERYSIPELOTHRIX ARTHRITIS"
"VIFD   ","DERMATOMYCOSIS"
"VIK    ","KIDNEY INFECTIONS"
"VILG   ","LARYNGITIS"
"VIPN   ","PNEUMONITIS"
"VIPOP  ","POST PARTURIENT INFECTIONS"
"VIPR   ","PERITONITIS"
"VISY   ","INFECTIOUS SYNOVITIS"
"VITO   ","TONSILLITIS"
"VIUG   ","INFECTIONS OF THE UROGENITAL TRACT"
"VPT    ","PREGNANCY TOXAEMIA"
"VSCN   ","HORSE - ASSIST IN CALMING NERVOUS HORSE"
"VSFA   ","FOLIC ACID SUPPLEMENT"
"VSPB   ","PROBIOTIC"
"VST    ","SOFT TISSUE INJURY"
"VUEC   ","EAR CANKER"
"VVAH   ","AVIAN HAEMAGGLUTINATING ADENOVIRUS"
"VVHC   ","HUMAN CORONAVIRUS"
"VVIA   ","INFLUENZA A (H10N7), (H1N1), (H3N2)"
"VVIBR  ","INFECTIOUS BOVINE RHINOTRACHEITIS (IBR)"
"WANBC  ","COASTAL BROWN ANT"
"WANF   ","FUNNEL ANT"
"WANHC  ","HAIRY/CRAZY ANT"
"WANL1  ","LONGLEGGED ANT"
"WANY   ","YELLOW CRAZY ANT"
"WAPBS  ","BROWN SOWTHISTLE APHIP"
"WAPF   ","ROSE APHID"
"WAPGX  ","APHIDS - EXCEPT GREY CABBAGE APHID"
"WAPH   ","CEREAL APHID"
"WAPSA  ","SPOTTED CLOVER APHID"
"WAPT   ","TURNIP APHID"
"WBBT5  ","LAWN BEETLE - GRUB"
"WBF    ","BROWN FLEA BEETLE"
"WBI    ","BITING INSECT"
"WBM    ","BROWN MIRID"
"WBOB   ","BEAN PODBORER"
"WBOP   ","PINHOLE BORER"
"WBOTO  ","TOMATO LEAF BORER"
"WBRFR  ","FLOUR BEETLE - MALDISON RESISTANT"
"WBT5   ","FAMILY: BOSTRYCHIDAE"
"WBT7   ","FAMILY: LYCTIDAE"
"WBTH1  ","HIDE BEETLE - DERMESTES ATER"
"WBTJ   ","BEETLE LARVA"
"WBTN   ","POWDERPOST BEETLE"
"WBTP   ","PUMPKIN BEETLE"
"WBTR   ","SPRING BEETLE"
"WBTS   ","SPIDER BEETLE"
"WBUB   ","BED BUG"
"WBUC   ","COTTON SEED BUG"
"WBUE   ","BROKENBACKED BUG"
"WBUG1  ","GREEN MIRID - SUPPRESSION ONLY"
"WBUM   ","MEALY BUG"
"WBUMCO ","COUCH MEALY BUG"
"WBUMH  ","HIBISCUS MEALYBUG"
"WBUSC  ","CUCURBIT SHIELD BUG"
"WBUSP  ","SPITTLE BUG"
"WCAGB  ","BUFFEL GRASS SEED CATERPILLAR"
"WCAH   ","FLOWEREATING CATERPILLAR"
"WCAL   ","LEAFROLLER CATERPILLAR"
"WCAS   ","SORGHUM HEAD CATERPILLAR"
"WCAX   ","XYLORECTID CATERPILLAR"
"WCO    ","COCKROACH"
"WCUB   ","PINK OR BROWN CUTWORM"
"WFBF   ","GRASS BLUE BUTTERFLY"
"WFLE   ","FLEA - EGG"
"WFYBC  ","FLY STRIKE"
"WFYFE  ","MELON FRUIT FLY"
"WFYFQ1 ","QUEENSLAND FRUIT FLY - MALE"
"WFYH   ","COMMON HOUSEFLY"
"WFYR   ","CARROT FLY"
"WFYS   ","SAND FLY (BITING MIDGE)"
"WFYWC  ","AUSTRALIAN CITRUS WHITEFLY"
"WGA    ","GALL INSECT"
"WGDC   ","DISEASE CARRYING INSECT"
"WGPC   ","CLOTH, FLANNEL AND FUR INSECT PESTS"
"WGPSGA ","STORED GRAIN INSECT PESTS - ADULT"
"WGRC1  ","CANEGRUB - LEPIDIOTA PICTICOLLIS"
"WGRCGB ","GREYBACK CANEGRUB"
"WGRCN  ","CANEGRUB - LEPIDIOTA NOXIA"
"WGRSC  ","SOUTHERN ONE-YEAR CANEGRUB"
"WGRSL  ","SAWFLY - LARVA"
"WHOM   ","MAIZE LEAFHOPPER"
"WHORG  ","GREEN RICE LEAFHOPPER"
"WLCP1  ","AUSTRALIAN PLAGUE LOCUST - NYMPHS"
"WLMJ   ","JARRAH LEAFMINER"
"WLO2   ","LOUSE - HETERODOXUS SPP."
"WLOA   ","PIG LOUSE"
"WLOCL  ","LONGNOSED CATTLE LOUSE"
"WLOID  ","DOGBITING LOUSE"
"WLOUF  ","FISH LICE"
"WLOUG  ","GOATSUCKING LOUSE"
"WLPO   ","POTATO LOOPER"
"WMDN   ","NUISANCE MIDGE"
"WMDSF  ","MIDGES & SANDFLIES - CULICOIDES SPP."
"WMGO   ","ONION MAGGOT"
"WMGS   ","SEEDLING MAGGOT"
"WMOD   ","CUCUMBER MOTH"
"WMS4   ","MOSQUITO - OCHLEROTATUS SPP."
"WMSA   ","COMMON AUSTRALIAN MOSQUITO"
"WPLL   ","LEUCAENA PSYLLID"
"WSCM   ","PURPLE OR MUSSEL SCALE"
"WSCMM  ","MACADAMIA MUSSEL SCALE"
"WSCWP  ","PINKWAX SCALE"
"WSS    ","SAPSUCKING INSECT"
"WSU    ","SUCKING INSECTS"
"WTES2  ","SUBTERRANEAN TERMITE - COPTOTERMES SPP."
"WTHB   ","BEAN THRIP"
"WTHBB  ","BEAN BLOSSOM THRIP"
"WTHBR  ","REDBANDED THRIPS"
"WTHCC  ","COTTON THRIPS"
"WTHP   ","PLAGUE THRIPS"
"WTHSB  ","BANANA SILVERING THRIP"
"WWA2   ","WASP - LARVAE"
"WWAP   ","PAPER WASP"
"WWAU   ","EUROPEAN WASP"
"WWEBC  ","COFFEE BEAN WEEVIL"
"WWEC   ","CARROT WEEVIL"
"WWEFE  ","FRUITEATING WEEVIL"
"WWEG   ","GRANARY WEEVIL"
"WWEI   ","VINE WEEVIL"
"WWES1  ","SWEET POTATO WEEVIL"
"WWET   ","SPINE-TAILED WEEVIL"
"WWIF3  ","FALSE WIREWORM - GONOCEPHALUM SPP."
"VGHY   ","HYPOSENSITISATION"
"VGIA   ","INDUCE ABORTION"
"VGIC   ","COLIC"
"VGINS  ","INSECT STINGS"
"VGLH   ","LUTEINIZING HORMONE"
"VGMB   ","METABOLIC TREATMENT"
"VGOE4  ","RE-SYNCHRONISATION OF OESTRUS"
"VGPSC  ","SWEET CLOVER POISONING"
"VGPU   ","PULMONARY OEDEMA"
"VGRE   ","RESTRAINT"
"VGS    ","HORSE - SWEATING"
"VGSA1  ","SLENDER CELERY - SUPPRESSION"
"VGSBP  ","PREVENTION OF SUNBURN"
"VGSTR  ","STRUVITE CALCULI"
"VGUR   ","UROLITHIASIS"
"VGWM   ","WEIGHT MANAGEMENT DIET"
"VHA    ","ALOPECIA"
"VHCAT  ","CIRCUM-ANAL TUMOURS"
"VHDP   ","DELAYED PUBERTY"
"VHEFD  ","EARLY FOETAL DEATH"
"VHHY   ","HYDROPS"
"VHME   ","MILIARY ECZEMA"
"VHOEE  ","EXTENDED DIOESTRUS"
"VIA    ","INFECTIONS OF THE ALIMENTARY TRACT"
"VIDM   ","DERMATOPHYTE INFECTION (RINGWORM)"
"VIER   ","ERYTHROMYCIN SUSCEPTIBLE INFECTIONS"
"VIGT   ","INFECTION OF THE GENITOURINARY TRACT"
"VILH   ","LEPTOSPIROSIS - LEPTOSPIRA HARDJO"
"VILT   ","LEPTOSPIROSIS - LEPTOSPIRA TARASSOVI"
"VIPH   ","PERIHEPATITIS"
"VIPP1  ","PUERPERAL INFECTIONS"
"VIPTF  ","PARATYPHOID"
"VIRE   ","EQUINE RESPIRATORY TRACT INFECTIONS VIRA"
"VOEPI  ","IDIOPATHIC EPILEPSY"
"VPR    ","IMPROVE PREGNANCY RATE"
"VRAM   ","MEDETOMIDINE REVERSING AGENT&ANTAGONIST"
"VSAR   ","SARCINA"
"VSF    ","FEED SUPPLEMENT"
"VSFD   ","AMINO ACID DEFICIENCY"
"VU     ","EAR WAX REMOVAL"
"VVBN   ","BRONCHOPNEUMONIA"
"VVCA   ","CANINE ADENOVIRUS - TYPE 1"
"VVCA2  ","CANINE ADENOVIRUS - TYPE 2"
"WAN1   ","PHARAOH'S ANT"
"WANGH  ","GREENHEAD ANT"
"WANL   ","BROWN HOUSE OR LITTLE BROWN HOUSE ANT"
"WANP   ","PENNANT ANT"
"WANSF  ","SWEET FEEDING ANTS"
"WAPD   ","COWPEA APHID"
"WAPN1  ","COTTON APHID - SUPPRESSION"
